Time,Trial Num,Target,Action,Current Sentence,Updated Sentence
12:22:19.207,0,are you talking to me,Start,,
12:22:23.913,0,are you talking to me,Insert_top1,,spencer 
12:22:24.755,0,are you talking to me,DeleteFull,spencer ,spencer
12:22:24.896,0,are you talking to me,DeleteFull,spencer,
12:22:24.988,0,are you talking to me,DeleteFull,,
12:22:25.105,0,are you talking to me,DeleteFull,,
12:22:26.564,0,are you talking to me,Insert_top1,,are 
12:22:28.899,0,are you talking to me,Insert_top1,are ,are you 
12:22:32.092,0,are you talking to me,Insert_top1,are you ,are you talking 
12:22:33.443,0,are you talking to me,Insert_top1,are you talking ,are you talking to 
12:22:35.303,0,are you talking to me,DeletePartial,are you talking to mw,are you talking to 
12:22:36.120,0,are you talking to me,DeletePartial,are you talking to e,are you talking to 
12:22:37.320,0,are you talking to me,Insert_top1,are you talking to ,are you talking to me 
12:22:37.321,0,are you talking to me,End,are you talking to me,are you talking to me
12:22:37.821,1,the power of denial,Start,,
12:22:40.338,1,the power of denial,Insert_top1,,the 
12:22:43.173,1,the power of denial,DeletePartial,the fatty,the 
12:22:45.841,1,the power of denial,DeletePartial,the polar,the 
12:22:45.983,1,the power of denial,DeleteFull,the ,the
12:22:46.600,1,the power of denial,Insert,the,the 
12:22:48.885,1,the power of denial,DeletePartial,the peter,the 
12:22:50.894,1,the power of denial,Insert_top1,the ,the fatty 
12:22:51.478,1,the power of denial,DeleteFull,the fatty ,the fatty
12:22:51.620,1,the power of denial,DeleteFull,the fatty,the 
12:22:56.247,1,the power of denial,DeletePartial,the peter,the 
12:22:57.707,1,the power of denial,Insert_top1,the ,the potter 
12:22:59.766,1,the power of denial,Insert_top1,the potter ,the potter uk 
12:23:00.917,1,the power of denial,DeletePartial,the potter uk ppp,the potter uk 
12:23:01.167,1,the power of denial,DeleteFull,the potter uk ,the potter uk
12:23:01.550,1,the power of denial,DeleteFull,the potter uk,the potter 
12:23:07.429,1,the power of denial,DeletePartial,the potter offensive,the potter 
12:23:07.562,1,the power of denial,DeleteFull,the potter ,the potter
12:23:08.220,1,the power of denial,Insert,the potter,the potter 
12:23:09.488,1,the power of denial,DeleteFull,the potter ,the potter
12:23:09.663,1,the power of denial,DeleteFull,the potter,the 
12:23:11.506,1,the power of denial,Insert_top1,the ,the power 
12:23:12.556,1,the power of denial,Insert_top1,the power ,the power of 
12:23:16.717,1,the power of denial,Insert_top1,the power of ,the power of denial 
12:23:16.717,1,the power of denial,End,the power of denial,the power of denial
12:23:17.218,2,this person is a disaster,Start,,
12:23:19.335,2,this person is a disaster,Insert_top1,,this 
12:23:22.337,2,this person is a disaster,Insert_top1,this ,this person 
12:23:23.762,2,this person is a disaster,Insert_top1,this person ,this person is 
12:23:24.555,2,this person is a disaster,Insert_top1,this person is ,this person is a 
12:23:29.983,2,this person is a disaster,DeletePartial,this person is a donate,this person is a 
12:23:37.203,2,this person is a disaster,Insert_top1,this person is a ,this person is a disaster 
12:23:37.204,2,this person is a disaster,End,this person is a disaster,this person is a disaster
12:23:37.705,3,is she done yet,Start,,
12:23:39.630,3,is she done yet,Insert_top1,,is 
12:23:41.122,3,is she done yet,Insert_top1,is ,is she 
12:23:43.390,3,is she done yet,Insert_top1,is she ,is she door 
12:23:44.291,3,is she done yet,DeleteFull,is she door ,is she door
12:23:44.424,3,is she done yet,DeleteFull,is she door,is she 
12:23:45.758,3,is she done yet,Insert_top1,is she ,is she dne 
12:23:48.359,3,is she done yet,DeletePartial,is she dne yet,is she dne 
12:23:48.501,3,is she done yet,DeleteFull,is she dne ,is she dne
12:23:48.860,3,is she done yet,DeleteFull,is she dne,is she 
12:23:50.311,3,is she done yet,DeletePartial,is she ine,is she 
12:23:50.444,3,is she done yet,DeleteFull,is she ,is she
12:23:51.002,3,is she done yet,Insert,is she,is she 
12:23:52.612,3,is she done yet,DeletePartial,is she dinepp,is she 
12:23:52.787,3,is she done yet,DeleteFull,is she ,is she
12:23:53.446,3,is she done yet,Insert,is she,is she 
12:23:54.071,3,is she done yet,DeleteFull,is she ,is she
12:23:55.663,3,is she done yet,Insert_top1,is she,is shedone 
12:23:56.264,3,is she done yet,DeleteFull,is shedone ,is shedone
12:23:56.414,3,is she done yet,DeleteFull,is shedone,is she
12:23:57.072,3,is she done yet,Insert,is she,is she 
12:23:58.048,3,is she done yet,Insert_top1,is she ,is she done 
12:24:00.058,3,is she done yet,DeletePartial,is she done jyp,is she done 
12:24:00.216,3,is she done yet,DeleteFull,is she done ,is she done
12:24:01.017,3,is she done yet,Insert,is she done,is she done 
12:24:02.634,3,is she done yet,DeletePartial,is she done treo,is she done 
12:24:05.269,3,is she done yet,Insert_top1,is she done ,is she done yet 
12:24:05.269,3,is she done yet,End,is she done yet,is she done yet
12:24:05.770,4,frequently asked questions,Start,,
12:24:14.007,4,frequently asked questions,Insert_top1,,frequently 
12:24:16.942,4,frequently asked questions,Insert_top1,frequently ,frequently aimed 
12:24:17.793,4,frequently asked questions,DeleteFull,frequently aimed ,frequently aimed
12:24:17.968,4,frequently asked questions,DeleteFull,frequently aimed,frequently 
12:24:21.961,4,frequently asked questions,DeletePartial,frequently latex,frequently 
12:24:23.954,4,frequently asked questions,Insert_top1,frequently ,frequently asked 
12:24:29.335,4,frequently asked questions,Insert_top3,frequently asked ,frequently asked question 
12:24:29.933,4,frequently asked questions,DeleteFull,frequently asked question ,frequently asked question
12:24:31.358,4,frequently asked questions,Insert_top1,frequently asked question,frequently asked questions 
12:24:31.361,4,frequently asked questions,End,frequently asked questions,frequently asked questions
12:24:31.861,5,a quarter of a century,Start,,
12:24:33.117,5,a quarter of a century,Insert_top1,,a 
12:24:37.128,5,a quarter of a century,Insert_top1,a ,a quarter 
12:24:38.146,5,a quarter of a century,Insert_top1,a quarter ,a quarter of 
12:24:38.754,5,a quarter of a century,Insert_top1,a quarter of ,a quarter of a 
12:24:42.856,5,a quarter of a century,Insert_top1,a quarter of a ,a quarter of a century 
12:24:42.857,5,a quarter of a century,End,a quarter of a century,a quarter of a century
12:24:43.358,6,the second largest country,Start,,
12:24:45.475,6,the second largest country,Insert_top1,,the 
12:24:49.135,6,the second largest country,Insert_top1,the ,the second 
12:24:53.121,6,the second largest country,Insert_top1,the second ,the second largest 
12:24:56.931,6,the second largest country,Insert_top1,the second largest ,the second largest country 
12:24:56.932,6,the second largest country,End,the second largest country,the second largest country
12:24:57.432,7,the living is easy,Start,,
12:24:59.591,7,the living is easy,Insert_top1,,the 
12:25:01.692,7,the living is easy,Insert_top1,the ,the living 
12:25:03.018,7,the living is easy,Insert_top1,the living ,the living is 
12:25:05.436,7,the living is easy,Insert_top1,the living is ,the living is easy 
12:25:05.436,7,the living is easy,End,the living is easy,the living is easy
12:25:05.937,8,do not drink the water,Start,,
12:25:07.745,8,do not drink the water,Insert_top1,,do 
12:25:08.879,8,do not drink the water,Insert_top1,do ,do not 
12:25:11.256,8,do not drink the water,Insert_top1,do not ,do not drink 
12:25:12.890,8,do not drink the water,Insert_top1,do not drink ,do not drink te 
12:25:13.498,8,do not drink the water,DeleteFull,do not drink te ,do not drink te
12:25:13.640,8,do not drink the water,DeleteFull,do not drink te,do not drink 
12:25:14.724,8,do not drink the water,Insert_top1,do not drink ,do not drink he 
12:25:15.308,8,do not drink the water,DeletePartial,do not drink he p,do not drink he 
12:25:15.575,8,do not drink the water,DeleteFull,do not drink he ,do not drink he
12:25:15.741,8,do not drink the water,DeleteFull,do not drink he,do not drink 
12:25:16.875,8,do not drink the water,Insert_top1,do not drink ,do not drink the 
12:25:19.210,8,do not drink the water,Insert_top1,do not drink the ,do not drink the water 
12:25:19.211,8,do not drink the water,End,do not drink the water,do not drink the water
12:25:19.711,9,stability of the nation,Start,,
12:25:24.188,9,stability of the nation,Insert_top1,,stability 
12:25:25.463,9,stability of the nation,Insert_top1,stability ,stability of 
12:25:26.622,9,stability of the nation,Insert_top1,stability of ,stability of the 
12:25:30.294,9,stability of the nation,Insert_top3,stability of the ,stability of the nation 
12:25:30.776,9,stability of the nation,End,stability of the nation,stability of the nation
12:25:31.276,10,communicate through email,Start,,
12:25:36.795,10,communicate through email,Insert_top1,,communicate 
12:25:39.421,10,communicate through email,Insert_top1,communicate ,communicate through 
12:25:42.423,10,communicate through email,DeletePartial,communicate through easily,communicate through 
12:25:45.183,10,communicate through email,Insert_top1,communicate through ,communicate through email 
12:25:45.183,10,communicate through email,End,communicate through email,communicate through email
12:25:45.684,11,just what the doctor ordered,Start,,
12:25:48.110,11,just what the doctor ordered,DeletePartial,ni,
12:25:50.828,11,just what the doctor ordered,Insert_top1,,just 
12:25:53.070,11,just what the doctor ordered,Insert_top1,just ,just what 
12:25:54.438,11,just what the doctor ordered,Insert_top1,just what ,just what the 
12:25:57.515,11,just what the doctor ordered,Insert_top1,just what the ,just what the doctor 
12:25:59.140,11,just what the doctor ordered,DeletePartial,just what the doctor oe,just what the doctor 
12:25:59.899,11,just what the doctor ordered,DeletePartial,just what the doctor r,just what the doctor 
12:26:02.694,11,just what the doctor ordered,DeletePartial,just what the doctor or,just what the doctor 
12:26:06.578,11,just what the doctor ordered,Insert_top1,just what the doctor ,just what the doctor ordered 
12:26:06.579,11,just what the doctor ordered,End,just what the doctor ordered,just what the doctor ordered
12:26:07.080,12,sad to hear that news,Start,,
12:26:09.046,12,sad to hear that news,Insert_top1,,dad 
12:26:10.272,12,sad to hear that news,Insert_top1,dad ,dad to 
12:26:10.714,12,sad to hear that news,DeleteFull,dad to ,dad to
12:26:10.839,12,sad to hear that news,DeleteFull,dad to,dad 
12:26:10.972,12,sad to hear that news,DeleteFull,dad ,dad
12:26:11.105,12,sad to hear that news,DeleteFull,dad,
12:26:11.222,12,sad to hear that news,DeleteFull,,
12:26:11.355,12,sad to hear that news,DeleteFull,,
12:26:14.352,12,sad to hear that news,Insert_top3,,sad 
12:26:15.691,12,sad to hear that news,Insert_top1,sad ,sad to 
12:26:17.759,12,sad to hear that news,Insert_top1,sad to ,sad to hear 
12:26:19.960,12,sad to hear that news,Insert_top1,sad to hear ,sad to hear that 
12:26:23.133,12,sad to hear that news,Insert_top3,sad to hear that ,sad to hear that news 
12:26:23.546,12,sad to hear that news,End,sad to hear that news,sad to hear that news
