Time,Trial Num,Target,Action,Current Sentence,Updated Sentence
12:26:34.341,0,tickets are very expensive,Start,,
12:26:41.390,0,tickets are very expensive,Insert_top1,,tickets 
12:26:44.178,0,tickets are very expensive,Insert_top3,tickets ,tickets are 
12:26:44.967,0,tickets are very expensive,Insert,tickets are ,tickets are  
12:26:47.694,0,tickets are very expensive,Insert_top1,tickets are  ,tickets are  very 
12:26:49.428,0,tickets are very expensive,DeletePartial,tickets are  very rx,tickets are  very 
12:26:56.782,0,tickets are very expensive,Insert_top1,tickets are  very ,tickets are  very expensive 
12:26:56.783,0,tickets are very expensive,End,tickets are very expensive,tickets are very expensive
12:26:57.284,1,the second largest country,Start,,
12:27:00.959,1,the second largest country,Insert_top1,,the 
12:27:04.853,1,the second largest country,Insert_top1,the ,the second 
12:27:09.739,1,the second largest country,Insert_top1,the second ,the second largest 
12:27:15.334,1,the second largest country,Insert_top1,the second largest ,the second largest country 
12:27:15.335,1,the second largest country,End,the second largest country,the second largest country
12:27:15.836,2,the power of denial,Start,,
12:27:17.827,2,the power of denial,Insert_top1,,the 
12:27:22.538,2,the power of denial,DeletePartial,the poet,the 
12:27:26.607,2,the power of denial,DeletePartial,the fatty,the 
12:27:30.518,2,the power of denial,Insert_top1,the ,the power 
12:27:31.710,2,the power of denial,Insert_top1,the power ,the power of 
12:27:35.054,2,the power of denial,Insert_top1,the power of ,the power of denial 
12:27:35.054,2,the power of denial,End,the power of denial,the power of denial
12:27:35.555,3,companies announce a merger,Start,,
12:27:43.383,3,companies announce a merger,DeletePartial,colleagues,
12:27:48.086,3,companies announce a merger,DeletePartial,colon,
12:27:55.349,3,companies announce a merger,Insert_top1,,companies 
12:28:00.085,3,companies announce a merger,Insert_top1,companies ,companies announce 
12:28:01.944,3,companies announce a merger,Insert_top1,companies announce ,companies announce aw 
12:28:02.619,3,companies announce a merger,DeleteFull,companies announce aw ,companies announce aw
12:28:02.811,3,companies announce a merger,DeleteFull,companies announce aw,companies announce 
12:28:03.928,3,companies announce a merger,Insert_top1,companies announce ,companies announce a 
12:28:08.265,3,companies announce a merger,Insert_top1,companies announce a ,companies announce a merger 
12:28:08.265,3,companies announce a merger,End,companies announce a merger,companies announce a merger
12:28:08.766,4,question that must be answered,Start,,
12:28:15.535,4,question that must be answered,DeletePartial,election,
12:28:22.356,4,question that must be answered,DeletePartial,quality,
12:28:28.059,4,question that must be answered,Insert_top1,,question 
12:28:30.193,4,question that must be answered,Insert_top1,question ,question that 
12:28:32.161,4,question that must be answered,DeletePartial,question that my,question that 
12:28:34.071,4,question that must be answered,DeletePartial,question that dude,question that 
12:28:36.580,4,question that must be answered,Insert_top1,question that ,question that must 
12:28:37.439,4,question that must be answered,Insert_top1,question that must ,question that must be 
12:28:44.418,4,question that must be answered,DeletePartial,question that must be acquired,question that must be 
12:28:51.064,4,question that must be answered,DeletePartial,question that must be assessed,question that must be 
12:28:56.784,4,question that must be answered,Insert_top1,question that must be ,question that must be answered 
12:28:56.784,4,question that must be answered,End,question that must be answered,question that must be answered
12:28:57.286,5,sad to hear that news,Start,,
12:29:00.074,5,sad to hear that news,Insert_top3,,sad 
12:29:00.727,5,sad to hear that news,Insert,sad ,sad  
12:29:01.903,5,sad to hear that news,Insert_top1,sad  ,sad  to 
12:29:04.296,5,sad to hear that news,Insert_top1,sad  to ,sad  to hear 
12:29:06.089,5,sad to hear that news,Insert_top1,sad  to hear ,sad  to hear that 
12:29:08.740,5,sad to hear that news,Insert_top1,sad  to hear that ,sad  to hear that news 
12:29:08.741,5,sad to hear that news,End,sad to hear that news,sad to hear that news
12:29:09.242,6,stability of the nation,Start,,
12:29:14.952,6,stability of the nation,Insert_top1,,stability 
12:29:16.078,6,stability of the nation,Insert_top1,stability ,stability of 
12:29:17.653,6,stability of the nation,Insert_top1,stability of ,stability of the 
12:29:20.664,6,stability of the nation,DeletePartial,stability of the margin,stability of the 
12:29:23.999,6,stability of the nation,Insert_top1,stability of the ,stability of the nation 
12:29:24.000,6,stability of the nation,End,stability of the nation,stability of the nation
12:29:24.501,7,zero in on the facts,Start,,
12:29:28.060,7,zero in on the facts,Insert_top1,,zero 
12:29:29.694,7,zero in on the facts,DeletePartial,zero im,zero 
12:29:30.719,7,zero in on the facts,Insert_top1,zero ,zero in 
12:29:31.745,7,zero in on the facts,Insert_top1,zero in ,zero in on 
12:29:33.404,7,zero in on the facts,Insert_top1,zero in on ,zero in on the 
12:29:35.922,7,zero in on the facts,DeletePartial,zero in on the faster,zero in on the 
12:29:40.034,7,zero in on the facts,DeletePartial,zero in on the causes,zero in on the 
12:29:43.260,7,zero in on the facts,DeletePartial,zero in on the gender,zero in on the 
12:29:48.571,7,zero in on the facts,Insert_top1,zero in on the ,zero in on the facts 
12:29:48.572,7,zero in on the facts,End,zero in on the facts,zero in on the facts
12:29:49.073,8,he called seven times,Start,,
12:29:52.707,8,he called seven times,DeletePartial,href,
12:29:55.150,8,he called seven times,DeletePartial,jr,
12:29:56.595,8,he called seven times,Insert_top3,,he 
12:29:57.109,8,he called seven times,Insert,he ,he  
12:30:00.878,8,he called seven times,Insert_top1,he  ,he  called 
12:30:04.572,8,he called seven times,Insert_top1,he  called ,he  called seven 
12:30:07.515,8,he called seven times,DeletePartial,he  called seven rings,he  called seven 
12:30:10.058,8,he called seven times,DeletePartial,he  called seven tions,he  called seven 
12:30:14.470,8,he called seven times,DeletePartial,he  called seven tiles,he  called seven 
12:30:18.272,8,he called seven times,DeletePartial,he  called seven ruled,he  called seven 
12:30:22.185,8,he called seven times,Insert_top3,he  called seven ,he  called seven times 
12:30:22.732,8,he called seven times,Insert,he  called seven times ,he  called seven times  
12:30:23.175,8,he called seven times,End,he called seven times,he called seven times
12:30:23.676,9,sent this by registered mail,Start,,
12:30:25.976,9,sent this by registered mail,Insert_top1,,sent 
12:30:27.727,9,sent this by registered mail,Insert_top1,sent ,sent this 
12:30:29.712,9,sent this by registered mail,DeletePartial,sent this bt,sent this 
12:30:31.346,9,sent this by registered mail,Insert_top1,sent this ,sent this by 
12:30:36.057,9,sent this by registered mail,Insert_top1,sent this by ,sent this by registered 
12:30:38.670,9,sent this by registered mail,Insert_top3,sent this by registered ,sent this by registered mail 
12:30:38.966,9,sent this by registered mail,Insert,sent this by registered mail ,sent this by registered mail  
12:30:39.267,9,sent this by registered mail,End,sent this by registered mail,sent this by registered mail
12:30:39.768,10,are you talking to me,Start,,
12:30:41.476,10,are you talking to me,Insert_top1,,ate 
12:30:42.719,10,are you talking to me,DeletePartial,ate yo,ate 
12:30:42.877,10,are you talking to me,DeleteFull,ate ,ate
12:30:43.061,10,are you talking to me,DeleteFull,ate,
12:30:43.235,10,are you talking to me,DeleteFull,,
12:30:45.045,10,are you talking to me,DeletePartial,dare,
12:30:45.212,10,are you talking to me,DeleteFull,,
12:30:45.379,10,are you talking to me,DeleteFull,,
12:30:47.416,10,are you talking to me,Insert_top3,,are 
12:30:47.847,10,are you talking to me,Insert,are ,are  
12:30:49.672,10,are you talking to me,Insert_top1,are  ,are  you 
12:30:51.307,10,are you talking to me,DeletePartial,are  you tres,are  you 
12:30:57.246,10,are you talking to me,Insert_top3,are  you ,are  you talking 
12:30:57.860,10,are you talking to me,Insert,are  you talking ,are  you talking  
12:30:59.512,10,are you talking to me,DeletePartial,are  you talking  tam,are  you talking  
12:31:00.746,10,are you talking to me,Insert_top1,are  you talking  ,are  you talking  to 
12:31:01.329,10,are you talking to me,Insert_top1,are  you talking  to ,are  you talking  to me 
12:31:01.330,10,are you talking to me,End,are you talking to me,are you talking to me
12:31:01.830,11,a quarter of a century,Start,,
12:31:02.813,11,a quarter of a century,Insert_top1,,a 
12:31:06.283,11,a quarter of a century,Insert_top1,a ,a quarter 
12:31:07.149,11,a quarter of a century,Insert_top1,a quarter ,a quarter of 
12:31:07.524,11,a quarter of a century,Insert_top1,a quarter of ,a quarter of a 
12:31:11.910,11,a quarter of a century,Insert_top1,a quarter of a ,a quarter of a century 
12:31:11.911,11,a quarter of a century,End,a quarter of a century,a quarter of a century
12:31:12.412,12,love means many things,Start,,
12:31:14.387,12,love means many things,Insert_top1,,line 
12:31:15.354,12,love means many things,DeleteFull,line ,line
12:31:15.579,12,love means many things,DeleteFull,line,
12:31:15.763,12,love means many things,DeleteFull,,
12:31:15.904,12,love means many things,DeleteFull,,
12:31:17.714,12,love means many things,Insert_top1,,love 
12:31:22.275,12,love means many things,DeletePartial,love meals,love 
