Time,Trial Num,Target,Action,Current Sentence,Updated Sentence
17:38:57.241,0,zero in on the facts,Start,,
17:39:01.888,0,zero in on the facts,Insert_top1,,zero 
17:39:04.990,0,zero in on the facts,DeletePartial,zero om,zero 
17:39:07.200,0,zero in on the facts,DeletePartial,zero im,zero 
17:39:09.293,0,zero in on the facts,Insert_top1,zero ,zero in 
17:39:12.494,0,zero in on the facts,DeletePartial,zero in om,zero in 
17:39:14.604,0,zero in on the facts,DeletePartial,zero in om,zero in 
17:39:17.630,0,zero in on the facts,Insert_top1,zero in ,zero in on 
17:39:21.124,0,zero in on the facts,Insert_top1,zero in on ,zero in on the 
17:39:26.578,0,zero in on the facts,Insert_top1,zero in on the ,zero in on the facts 
17:39:26.578,0,zero in on the facts,End,zero in on the facts,zero in on the facts
17:39:27.079,1,companies announce a merger,Start,,
17:39:33.731,1,companies announce a merger,Insert_top1,,companies 
17:39:40.885,1,companies announce a merger,Insert_top1,companies ,companies announce 
17:39:42.127,1,companies announce a merger,Insert_top1,companies announce ,companies announce a 
17:39:48.669,1,companies announce a merger,Insert_top1,companies announce a ,companies announce a merger 
17:39:49.718,1,companies announce a merger,End,companies announce a merger,companies announce a merger
17:39:50.218,2,communicate through email,Start,,
17:39:57.271,2,communicate through email,Insert_top1,,communicate 
17:40:00.745,2,communicate through email,Insert_top1,communicate ,communicate through 
17:40:06.397,2,communicate through email,Insert_top1,communicate through ,communicate through email 
17:40:07.237,2,communicate through email,End,communicate through email,communicate through email
17:40:07.737,3,he called seven times,Start,,
17:40:10.983,3,he called seven times,Insert_top3,,he 
17:40:15.213,3,he called seven times,Insert_top1,he ,he called 
17:40:18.280,3,he called seven times,Insert_top1,he called ,he called seven 
17:40:21.168,3,he called seven times,Insert_top3,he called seven ,he called seven times 
17:40:22.457,3,he called seven times,End,he called seven times,he called seven times
17:40:22.958,4,this person is a disaster,Start,,
17:40:26.216,4,this person is a disaster,Insert_top1,,this 
17:40:31.002,4,this person is a disaster,DeletePartial,this israel,this 
17:40:37.338,4,this person is a disaster,DeletePartial,this pattern,this 
17:40:41.465,4,this person is a disaster,DeletePartial,this israel,this 
17:40:48.010,4,this person is a disaster,DeletePartial,this listen,this 
17:40:53.788,4,this person is a disaster,Insert_top1,this ,this person 
17:40:56.890,4,this person is a disaster,DeletePartial,this person if,this person 
17:40:58.741,4,this person is a disaster,Insert_top1,this person ,this person is 
17:41:00.442,4,this person is a disaster,Insert_top1,this person is ,this person is a 
17:41:07.229,4,this person is a disaster,Insert_top1,this person is a ,this person is a disaster 
17:41:07.229,4,this person is a disaster,End,this person is a disaster,this person is a disaster
17:41:07.730,5,the world is a stage,Start,,
17:41:10.547,5,the world is a stage,Insert_top1,,the 
17:41:13.966,5,the world is a stage,Insert_top1,the ,the world 
17:41:15.183,5,the world is a stage,Insert_top1,the world ,the world is 
17:41:15.758,5,the world is a stage,Insert_top1,the world is ,the world is a 
17:41:21.920,5,the world is a stage,DeletePartial,the world is a s,the world is a 
17:41:28.090,5,the world is a stage,DeletePartial,the world is a s,the world is a 
17:41:38.138,5,the world is a stage,DeletePartial,the world is a s,the world is a 
17:41:44.508,5,the world is a stage,Insert_top1,the world is a ,the world is a stage 
17:41:44.508,5,the world is a stage,End,the world is a stage,the world is a stage
17:41:45.009,6,please follow the guidelines,Start,,
17:41:49.152,6,please follow the guidelines,Insert_top1,,please 
17:41:53.142,6,please follow the guidelines,Insert_top3,please ,please follow 
17:41:56.564,6,please follow the guidelines,Insert_top1,please follow ,please follow the 
17:42:03.643,6,please follow the guidelines,Insert_top1,please follow the ,please follow the guidelines 
17:42:03.644,6,please follow the guidelines,End,please follow the guidelines,please follow the guidelines
17:42:04.145,7,sad to hear that news,Start,,
17:42:08.523,7,sad to hear that news,Insert_top3,,sad 
17:42:12.098,7,sad to hear that news,DeletePartial,sad ti,sad 
17:42:14.191,7,sad to hear that news,Insert_top1,sad ,sad to 
17:42:18.255,7,sad to hear that news,Insert_top3,sad to ,sad to hear 
17:42:22.028,7,sad to hear that news,Insert_top1,sad to hear ,sad to hear that 
17:42:28.407,7,sad to hear that news,DeletePartial,sad to hear that mt,sad to hear that 
17:42:34.099,7,sad to hear that news,Insert_top3,sad to hear that ,sad to hear that news 
17:42:35.178,7,sad to hear that news,End,sad to hear that news,sad to hear that news
17:42:35.678,8,the library is closed today,Start,,
17:42:39.146,8,the library is closed today,Insert_top1,,the 
17:42:45.650,8,the library is closed today,Insert_top1,the ,the library 
17:42:47.517,8,the library is closed today,Insert_top1,the library ,the library is 
