Time,Trial Num,Target,Action,Current Sentence,Updated Sentence
11:57:39.416,0,just what the doctor ordered,Start,,
11:57:47.240,0,just what the doctor ordered,DeletePartial,kurt,
11:57:47.474,0,just what the doctor ordered,DeleteFull,,
11:57:51.579,0,just what the doctor ordered,Insert_top3,,just 
11:57:53.527,0,just what the doctor ordered,Insert,just ,just  
11:57:58.541,0,just what the doctor ordered,Insert_top3,just  ,just  what 
11:57:59.264,0,just what the doctor ordered,Insert,just  what ,just  what  
11:58:02.107,0,just what the doctor ordered,Insert_top1,just  what  ,just  what  the 
11:58:06.651,0,just what the doctor ordered,Insert_top1,just  what  the ,just  what  the doctor 
11:58:12.271,0,just what the doctor ordered,Insert_top1,just  what  the doctor ,just  what  the doctor ordered 
11:58:12.272,0,just what the doctor ordered,End,just what the doctor ordered,just what the doctor ordered
11:58:12.772,1,the power of denial,Start,,
11:58:16.181,1,the power of denial,Insert_top1,,the 
11:58:21.168,1,the power of denial,DeletePartial,the pretty,the 
11:58:27.955,1,the power of denial,DeletePartial,the fatty,the 
11:58:32.533,1,the power of denial,DeletePartial,the fatty,the 
11:58:38.186,1,the power of denial,DeletePartial,the pretty,the 
11:58:42.405,1,the power of denial,Insert_top1,the ,the power 
11:58:47.508,1,the power of denial,DeletePartial,the power oe,the power 
11:58:49.509,1,the power of denial,Insert_top1,the power ,the power of 
11:58:55.121,1,the power of denial,DeletePartial,the power of demember,the power of 
11:58:59.859,1,the power of denial,Insert_top3,the power of ,the power of denial 
11:59:01.058,1,the power of denial,End,the power of denial,the power of denial
11:59:01.558,2,the second largest country,Start,,
11:59:07.728,2,the second largest country,Insert_top1,,the 
11:59:12.606,2,the second largest country,Insert_top1,the ,the second 
11:59:16.958,2,the second largest country,Insert_top1,the second ,the second largest 
11:59:22.170,2,the second largest country,DeletePartial,the second largest county,the second largest 
11:59:27.606,2,the second largest country,Insert_top1,the second largest ,the second largest country 
11:59:27.606,2,the second largest country,End,the second largest country,the second largest country
11:59:28.107,3,the stock exchange dipped,Start,,
11:59:30.966,3,the stock exchange dipped,Insert_top1,,the 
11:59:34.827,3,the stock exchange dipped,Insert_top1,the ,the stock 
11:59:40.505,3,the stock exchange dipped,DeletePartial,the stock extreme,the stock 
11:59:48.301,3,the stock exchange dipped,DeletePartial,the stock exchanges,the stock 
11:59:55.363,3,the stock exchange dipped,Insert_top1,the stock ,the stock exchange 
12:00:01.876,3,the stock exchange dipped,DeletePartial,the stock exchange fitted,the stock exchange 
12:00:07.520,3,the stock exchange dipped,DeletePartial,the stock exchange ordered,the stock exchange 
12:00:13.524,3,the stock exchange dipped,DeletePartial,the stock exchange shaped,the stock exchange 
12:00:16.726,3,the stock exchange dipped,Insert_top1,the stock exchange ,the stock exchange dipped 
